0.284	0.284	0.284	0.284	0.284	-0.06788	0	0	0	0	0	0
0.284	0.284	0.284	0.284	-0.06788	-0.070134	0	0	0	0	0	0
0.284	0.284	0.284	-0.06788	-0.070134	-0.070901	0	0	0	0	0	0
0.284	0.284	-0.06788	-0.070134	-0.070901	-0.073284	0	0	0	0	0	0
0.284	-0.06788	-0.070134	-0.070901	-0.073284	-0.078315	0	0	0	0	0	-0.0442545
-0.06788	-0.070134	-0.070901	-0.073284	-0.078315	-0.083328	0	0	0	0	-0.0442545	0.11105
-0.070134	-0.070901	-0.073284	-0.078315	-0.083328	-0.091336	0	0	0	-0.0442545	0.11105	-0.352401
-0.070901	-0.073284	-0.078315	-0.083328	-0.091336	-0.091996	0	0	-0.0442545	0.11105	-0.352401	-0.632891
-0.073284	-0.078315	-0.083328	-0.091336	-0.091996	-0.088528	0	-0.0442545	0.11105	-0.352401	-0.632891	0.708449
-0.078315	-0.083328	-0.091336	-0.091996	-0.088528	-0.079512	-0.0442545	0.11105	-0.352401	-0.632891	0.708449	0.0156992
-0.083328	-0.091336	-0.091996	-0.088528	-0.079512	-0.074476	0.11105	-0.352401	-0.632891	0.708449	0.0156992	-0.27305
-0.091336	-0.091996	-0.088528	-0.079512	-0.074476	-0.074478	-0.352401	-0.632891	0.708449	0.0156992	-0.27305	-0.94005
-0.091996	-0.088528	-0.079512	-0.074476	-0.074478	-0.078612	-0.632891	0.708449	0.0156992	-0.27305	-0.94005	-0.807476
-0.088528	-0.079512	-0.074476	-0.074478	-0.078612	-0.084792	0.708449	0.0156992	-0.27305	-0.94005	-0.807476	0.796182
-0.079512	-0.074476	-0.074478	-0.078612	-0.084792	-0.08799	0.0156992	-0.27305	-0.94005	-0.807476	0.796182	0.399278
-0.074476	-0.074478	-0.078612	-0.084792	-0.08799	-0.087054	-0.27305	-0.94005	-0.807476	0.796182	0.399278	-0.962362
-0.074478	-0.078612	-0.084792	-0.08799	-0.087054	-0.085041	-0.94005	-0.807476	0.796182	0.399278	-0.962362	0.989518
-0.078612	-0.084792	-0.08799	-0.087054	-0.085041	-0.084893	-0.807476	0.796182	0.399278	-0.962362	0.989518	0.973304
-0.084792	-0.08799	-0.087054	-0.085041	-0.084893	-0.084485	0.796182	0.399278	-0.962362	0.989518	0.973304	-0.304168
-0.08799	-0.087054	-0.085041	-0.084893	-0.084485	-0.080513	0.399278	-0.962362	0.989518	0.973304	-0.304168	0.308236
-0.087054	-0.085041	-0.084893	-0.084485	-0.080513	-0.076121	-0.962362	0.989518	0.973304	-0.304168	0.308236	-0.462047
-0.085041	-0.084893	-0.084485	-0.080513	-0.076121	-0.077111	0.989518	0.973304	-0.304168	0.308236	-0.462047	0.821416
-0.084893	-0.084485	-0.080513	-0.076121	-0.077111	-0.078562	0.973304	-0.304168	0.308236	-0.462047	0.821416	-0.123833
